Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AMG core regression,Chrome 64.0.3282.167,,2018-02-22 15:58:08,2018-02-22 16:01:18,3m - 9.527s,FAILED
,,,,,,
Test Cases/Local country cookie/Site disclaimer - rejection,Chrome 64.0.3282.167,Site disclaimer,2018-02-22 15:58:09,2018-02-22 15:58:56,47.192s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-22 15:58:09,2018-02-22 15:58:12,3.310s,PASSED
"Statement - autoit_prj = ""C:\Users\ghetherington\Katalon Studio\HSBC AMG\autoIT\AMG credentials.exe""",Chrome 64.0.3282.167,,2018-02-22 15:58:12,2018-02-22 15:58:12,0.001s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 64.0.3282.167,,2018-02-22 15:58:12,2018-02-22 15:58:13,0.265s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 64.0.3282.167,,2018-02-22 15:58:13,2018-02-22 15:58:16,3.006s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-02-22 15:58:16,2018-02-22 15:58:31,15.138s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-22 15:58:31,2018-02-22 15:58:32,1.169s,PASSED
click,Chrome 64.0.3282.167,,2018-02-22 15:58:32,2018-02-22 15:58:35,3.014s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-22 15:58:35,2018-02-22 15:58:35,0.153s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-22 15:58:35,2018-02-22 15:58:36,0.749s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-22 15:58:36,2018-02-22 15:58:38,2.226s,PASSED
"Statement - autoit_prj = ""C:\Users\ghetherington\Katalon Studio\HSBC AMG\autoIT\AMG credentials.exe""",Chrome 64.0.3282.167,,2018-02-22 15:58:38,2018-02-22 15:58:38,0.001s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 64.0.3282.167,,2018-02-22 15:58:38,2018-02-22 15:58:38,0.004s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 64.0.3282.167,,2018-02-22 15:58:38,2018-02-22 15:58:41,3.001s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-02-22 15:58:41,2018-02-22 15:58:53,11.712s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-22 15:58:53,2018-02-22 15:58:54,1.143s,PASSED
click,Chrome 64.0.3282.167,,2018-02-22 15:58:54,2018-02-22 15:58:55,1.092s,PASSED
verifyTextPresent,Chrome 64.0.3282.167,,2018-02-22 15:58:55,2018-02-22 15:58:55,0.132s,PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-02-22 15:58:55,2018-02-22 15:58:56,0.796s,PASSED
,,,,,,
Test Cases/Local country cookie/Switching languages - disclaimer,Chrome 64.0.3282.167,Switching languages via the language switcher,2018-02-22 15:58:56,2018-02-22 15:59:18,22.303s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-22 15:58:56,2018-02-22 15:58:58,2.172s,PASSED
"Statement - autoit_prj = ""C:\Users\ghetherington\Katalon Studio\HSBC AMG\autoIT\AMG credentials.exe""",Chrome 64.0.3282.167,,2018-02-22 15:58:58,2018-02-22 15:58:58,0.001s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 64.0.3282.167,,2018-02-22 15:58:58,2018-02-22 15:58:58,0.006s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 64.0.3282.167,,2018-02-22 15:58:58,2018-02-22 15:59:01,3.001s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-02-22 15:59:01,2018-02-22 15:59:11,10.017s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-22 15:59:11,2018-02-22 15:59:12,1.130s,PASSED
verifyElementText,Chrome 64.0.3282.167,,2018-02-22 15:59:12,2018-02-22 15:59:13,0.092s,PASSED
click,Chrome 64.0.3282.167,,2018-02-22 15:59:13,2018-02-22 15:59:13,0.169s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-22 15:59:13,2018-02-22 15:59:13,0.010s,PASSED
refresh,Chrome 64.0.3282.167,,2018-02-22 15:59:13,2018-02-22 15:59:13,0.556s,PASSED
click,Chrome 64.0.3282.167,,2018-02-22 15:59:13,2018-02-22 15:59:13,0.178s,PASSED
click,Chrome 64.0.3282.167,,2018-02-22 15:59:13,2018-02-22 15:59:14,0.824s,PASSED
verifyElementPresent,Chrome 64.0.3282.167,,2018-02-22 15:59:14,2018-02-22 15:59:14,0.089s,PASSED
click,Chrome 64.0.3282.167,,2018-02-22 15:59:14,2018-02-22 15:59:15,0.205s,PASSED
verifyElementClickable,Chrome 64.0.3282.167,,2018-02-22 15:59:15,2018-02-22 15:59:15,0.061s,PASSED
waitForElementVisible,Chrome 64.0.3282.167,,2018-02-22 15:59:15,2018-02-22 15:59:15,0.115s,PASSED
verifyElementClickable,Chrome 64.0.3282.167,,2018-02-22 15:59:15,2018-02-22 15:59:15,0.033s,PASSED
refresh,Chrome 64.0.3282.167,,2018-02-22 15:59:15,2018-02-22 15:59:15,0.321s,PASSED
