Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Statement - autoit_prj = ""C:\Users\ghetherington\Katalon Studio\HSBC AMG\autoIT\AMG credentials.exe""",Chrome 67.0.3396.79,,2018-06-26 11:32:45,2018-06-26 11:32:45,0.000s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 67.0.3396.79,,2018-06-26 11:32:45,2018-06-26 11:32:45,0.005s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.79,,2018-06-26 11:32:45,2018-06-26 11:32:48,3.001s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:32:48,2018-06-26 11:32:58,9.282s,PASSED
maximizeWindow,Chrome 67.0.3396.79,,2018-06-26 11:32:58,2018-06-26 11:32:59,1.131s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:32:59,2018-06-26 11:32:59,0.195s,PASSED
maximizeWindow,Chrome 67.0.3396.79,,2018-06-26 11:32:59,2018-06-26 11:32:59,0.007s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:32:59,2018-06-26 11:33:00,0.421s,PASSED
sendKeys,Chrome 67.0.3396.79,,2018-06-26 11:33:00,2018-06-26 11:33:00,0.182s,PASSED
verifyTextPresent,Chrome 67.0.3396.79,,2018-06-26 11:33:00,2018-06-26 11:33:00,0.133s,PASSED
verifyElementVisible,Chrome 67.0.3396.79,,2018-06-26 11:33:00,2018-06-26 11:33:00,0.001s,NOT_RUN
verifyElementPresent,Chrome 67.0.3396.79,,2018-06-26 11:33:00,2018-06-26 11:33:00,0.001s,NOT_RUN
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:33:00,2018-06-26 11:33:00,0.366s,PASSED
verifyTextPresent,Chrome 67.0.3396.79,,2018-06-26 11:33:00,2018-06-26 11:33:00,0.177s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-26 11:33:00,2018-06-26 11:33:01,0.787s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-26 11:33:01,2018-06-26 11:33:04,2.543s,PASSED
"Statement - autoit_prj = ""C:\Users\ghetherington\Katalon Studio\HSBC AMG\autoIT\AMG credentials.exe""",Chrome 67.0.3396.79,,2018-06-26 11:33:04,2018-06-26 11:33:04,0.001s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 67.0.3396.79,,2018-06-26 11:33:04,2018-06-26 11:33:04,0.006s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.79,,2018-06-26 11:33:04,2018-06-26 11:33:07,3.001s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:33:07,2018-06-26 11:33:16,9.247s,PASSED
maximizeWindow,Chrome 67.0.3396.79,,2018-06-26 11:33:16,2018-06-26 11:33:17,1.155s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:33:17,2018-06-26 11:33:17,0.161s,PASSED
maximizeWindow,Chrome 67.0.3396.79,,2018-06-26 11:33:17,2018-06-26 11:33:17,0.005s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:33:17,2018-06-26 11:33:18,0.497s,PASSED
sendKeys,Chrome 67.0.3396.79,,2018-06-26 11:33:18,2018-06-26 11:33:18,0.167s,PASSED
delay,Chrome 67.0.3396.79,,2018-06-26 11:33:18,2018-06-26 11:33:19,1.001s,PASSED
verifyElementText,Chrome 67.0.3396.79,,2018-06-26 11:33:19,2018-06-26 11:33:19,0.053s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:33:19,2018-06-26 11:33:19,0.368s,PASSED
verifyElementText,Chrome 67.0.3396.79,,2018-06-26 11:33:19,2018-06-26 11:33:19,0.120s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:33:19,2018-06-26 11:33:20,0.529s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:33:20,2018-06-26 11:33:20,0.299s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:33:20,2018-06-26 11:33:21,0.314s,PASSED
sendKeys,Chrome 67.0.3396.79,,2018-06-26 11:33:21,2018-06-26 11:33:21,0.151s,PASSED
delay,Chrome 67.0.3396.79,,2018-06-26 11:33:21,2018-06-26 11:33:22,1.001s,PASSED
verifyElementText,Chrome 67.0.3396.79,,2018-06-26 11:33:22,2018-06-26 11:33:22,0.048s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:33:22,2018-06-26 11:33:22,0.352s,PASSED
verifyElementText,Chrome 67.0.3396.79,,2018-06-26 11:33:22,2018-06-26 11:33:22,0.114s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:33:22,2018-06-26 11:33:23,0.489s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:33:23,2018-06-26 11:33:25,2.632s,FAILED
,,,,,,
Test Cases/Document and video filtering/Document library search and filtering,Chrome 67.0.3396.79,These test cases cover the document and video filtering on the website..,2018-06-26 11:33:25,2018-06-26 11:33:55,29.206s,FAILED
